Datetime,Latitude,Longitude,Deskripsi,Images,Ketinggian (cm),road_class,dist_faskes_m,volume_l
2025-01-11 14:07:00,-7.3244083,112.7497263,Jl. Raya Kendangsari ( RSIA )= 15cm,,15.0,2,639.9,6250.0
2025-01-11 14:07:00,-7.2960594,112.7594578,Genangan : ± 15 cm,,15.0,3,146.9,8750.0
2025-01-11 14:07:00,-7.2141232,112.7295661,Genangan : 10 cm,,20.0,2,82.9,12500.0
2025-01-11 14:07:00,-7.2782165,112.7389915,Genangan : ± 10cm,,10.0,2,101.3,6250.0
2025-01-11 14:07:00,-7.2802867,112.7174409,Genangan : 20 cm,,20.0,3,915.4,17500.0
2025-01-11 14:07:00,-7.2608289,112.7109621,Jl. Raya Simo Hilir Barat = 30cm,,30.0,2,278.9,25000.0
2025-01-11 14:07:00,-7.2978653,112.7492322,Genangan : ± 15 cm,,15.0,4,1093.5,12500.0
2025-01-11 14:07:00,-7.2526092,112.659658,Genangan : ± 60cm,,60.0,2,919.7,62500.0
2025-01-11 14:07:00,-7.2963035,112.6785203,Genangan : ± 25cm,,25.0,3,1612.1,26250.0
2025-01-11 14:07:00,-7.2495909,112.6502826,Genangan : ± 60cm,,60.0,2,633.0,62500.0
2025-01-11 14:07:00,-7.2746255,112.6597962,Genangan : ± 50cm,,50.0,3,1389.6,70000.0
2025-01-11 14:07:00,-7.269971,112.6613338,Genangan : ± 50cm,,50.0,3,847.4,70000.0
2025-01-11 14:07:00,-7.2748666,112.6527469,Genangan : ± 30cm,,30.0,3,1529.1,35000.0
2025-01-12 19:34:00,-7.274123,112.758657,Genangan : ± 5 cm,,5.0,2,1299.1,6250.0
2025-01-12 19:34:00,-7.2930776,112.6759437,Genangan : ± 50 cm,,50.0,4,795.9,100000.0
2025-01-12 19:34:00,-7.2613953,112.7184525,Genangan : ± 10 cm,,10.0,3,487.5,8750.0
2025-01-12 19:34:00,-7.2446897,112.7756818,Jl.Lebak Jaya II : 10 cm,,10.0,2,827.1,6250.0
